fn,roi#,t1,x,y,mortality,status,peak,valley,valley_t,peak_t,threshold_t-
d68420c062db9635341aa28cb079334b.tif.mortality.tab,103,0.00698805555556,927.0,164.0,35.008695,1,3974.9465526590839,269.65041120561159,2.00751111111,36.0064611111,34.0082825
d68420c062db9635341aa28cb079334b.tif.mortality.tab,104,0.00698805555556,400.0,161.0,42.0082386111,1,6064.204149931672,215.66236625642216,10.0058994444,44.0082472222,41.0083769444
d68420c062db9635341aa28cb079334b.tif.mortality.tab,105,0.00698805555556,159.0,162.0,50.0076036111,1,2225.3144845308452,210.10196244490919,28.0080213889,51.0082697222,49.0078647222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,106,0.00698805555556,564.0,124.0,19.0074797222,1,5690.6854277301445,336.95091325744824,1.01322055556,20.005585,18.0058538889
d68420c062db9635341aa28cb079334b.tif.mortality.tab,107,0.00698805555556,1207.0,105.0,28.0080213889,1,1127.8114776523898,192.12888726915742,12.0067911111,28.0080213889,27.0063183333
d68420c062db9635341aa28cb079334b.tif.mortality.tab,108,0.00698805555556,684.0,84.0,40.0073772222,1,6171.6212201137514,288.8003732717446,3.00754611111,41.0083769444,39.0083994444
d68420c062db9635341aa28cb079334b.tif.mortality.tab,109,0.00698805555556,159.0,84.0,43.0092291667,1,7001.136100790829,256.40167554616596,17.0060872222,44.0082472222,42.0082386111
d68420c062db9635341aa28cb079334b.tif.mortality.tab,110,0.00698805555556,485.0,84.0,52.0088127778,1,1566.9692204197797,211.09300943757384,28.0080213889,58.0089094444,51.0082697222
d68420c062db9635341aa28cb079334b.tif.mortality.tab,111,0.00698805555556,280.0,83.0,39.0083994444,1,4399.2530069860786,275.90768441793358,8.005925,40.0073772222,38.0080105556
d68420c062db9635341aa28cb079334b.tif.mortality.tab,112,0.00698805555556,645.0,83.0,15.0083888889,1,5099.3175979593279,272.05666329675449,1.01322055556,16.0069011111,14.0078566667
d68420c062db9635341aa28cb079334b.tif.mortality.tab,113,0.00698805555556,848.0,78.0,49.0078647222,1,6774.4565964134572,247.26818908481587,9.00627972222,49.0078647222,48.0085925
d68420c062db9635341aa28cb079334b.tif.mortality.tab,114,0.00698805555556,1212.0,43.0,38.0080105556,1,6284.4802121200019,265.94111514657385,12.0067911111,39.0083994444,37.0067180556
d68420c062db9635341aa28cb079334b.tif.mortality.tab,115,0.00698805555556,443.0,44.0,49.0078647222,1,5121.9867458476328,246.76278088969704,15.0083888889,49.0078647222,48.0085925
d68420c062db9635341aa28cb079334b.tif.mortality.tab,116,0.00698805555556,1251.0,43.0,47.0073316667,1,5632.5709089306611,260.08159329835354,14.0078566667,47.0073316667,46.007025
d68420c062db9635341aa28cb079334b.tif.mortality.tab,117,0.00698805555556,1132.0,43.0,59.0080744444,1,6556.5863959421476,265.74453326582756,15.0083888889,60.0086355556,58.0089094444
d68420c062db9635341aa28cb079334b.tif.mortality.tab,118,0.00698805555556,322.0,44.0,28.0080213889,1,3017.738092663908,265.43060462328879,10.0058994444,28.0080213889,27.0063183333
d68420c062db9635341aa28cb079334b.tif.mortality.tab,119,0.00698805555556,120.0,43.0,43.0092291667,1,3489.4484672034191,275.58236353352356,16.0069011111,43.0092291667,42.0082386111
d68420c062db9635341aa28cb079334b.tif.mortality.tab,120,0.00698805555556,810.0,43.0,56.0084016667,1,2520.8539474442,267.64252632848286,10.0058994444,58.0089094444,55.0086011111
d68420c062db9635341aa28cb079334b.tif.mortality.tab,121,0.00698805555556,644.0,42.0,46.007025,1,4124.412726383066,272.07178405787107,15.0083888889,46.007025,45.0089238889
d68420c062db9635341aa28cb079334b.tif.mortality.tab,122,0.00698805555556,605.0,43.0,38.0080105556,1,5443.5234981713629,253.09003168174056,15.0083888889,38.0080105556,37.0067180556
